2024/05/30 14:46:02 [alert] 18868#15628: OpenEvent("ngx_master_21148") failed (2: FormatMessage() error:(15100))
2024/05/30 20:41:11 [alert] 17500#10156: OpenEvent("ngx_master_4952") failed (2: FormatMessage() error:(15100))
2024/05/31 11:19:25 [alert] 22720#22448: worker process 24512 exited with code C0000142
2024/05/31 11:19:25 [alert] 22720#22448: could not respawn worker
2024/05/31 16:38:47 [error] 22724#25156: *5241 WSARecv() failed (10054: FormatMessage() error:(15100)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/media/48?context=view&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10051", host: "nathalie-mota.local", referrer: "http://nathalie-mota.local/wp-admin/post.php?post=47&action=edit"
2024/05/31 16:38:47 [error] 22724#25156: *5239 WSARecv() failed (10054: FormatMessage() error:(15105)) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/?_fields=description%2Cgmt_offset%2Chome%2Cname%2Csite_icon%2Csite_icon_url%2Csite_logo%2Ctimezone_string%2Curl&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10050", host: "nathalie-mota.local", referrer: "http://nathalie-mota.local/wp-admin/post.php?post=47&action=edit"
2024/05/31 16:38:47 [error] 22724#25156: *5239 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/?_fields=description%2Cgmt_offset%2Chome%2Cname%2Csite_icon%2Csite_icon_url%2Csite_logo%2Ctimezone_string%2Curl&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "nathalie-mota.local", referrer: "http://nathalie-mota.local/wp-admin/post.php?post=47&action=edit"
2024/05/31 16:38:53 [error] 22724#25156: *5245 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "nathalie-mota.local", referrer: "http://nathalie-mota.local/wp-admin/post.php?post=47&action=edit"
2024/05/31 16:38:53 [error] 22724#25156: *5246 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/edit.php?post_type=photo HTTP/1.0", upstream: "fastcgi://php", host: "nathalie-mota.local", referrer: "http://nathalie-mota.local/wp-admin/upload.php"
2024/05/31 16:38:56 [error] 22724#25156: *5247 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/upload.php HTTP/1.0", upstream: "fastcgi://php", host: "nathalie-mota.local", referrer: "http://nathalie-mota.local/wp-admin/edit.php?post_type=photo"
2024/06/19 14:57:08 [error] 8912#864: *1663 connect() failed (10061: FormatMessage() error:(15100)) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10050", host: "nathalie-mota.local", referrer: "http://nathalie-mota.local/wp-admin/"
2024/06/19 14:57:10 [error] 8912#864: *1663 connect() failed (10061: FormatMessage() error:(15105)) while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10051", host: "nathalie-mota.local", referrer: "http://nathalie-mota.local/wp-admin/"
2024/06/19 14:57:13 [error] 8912#864: *1666 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://php", host: "nathalie-mota.local", referrer: "http://nathalie-mota.local/photo/sante/"
2024/06/19 14:57:13 [error] 8912#864: *1667 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "nathalie-mota.local", referrer: "http://nathalie-mota.local/"
2024/06/19 14:57:15 [error] 8912#864: *1668 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.0", upstream: "fastcgi://php", host: "nathalie-mota.local", referrer: "http://nathalie-mota.local/photo/sante/"
2024/06/19 14:57:15 [error] 8912#864: *1669 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "nathalie-mota.local", referrer: "http://nathalie-mota.local/"
